"No.","Time","Source","Destination","Protocol","Info"
"1","0.000000","10.160.100.24","10.160.100.34","TLSv1","Application Data"
"2","0.059517","10.160.100.34","10.160.100.24","TLSv1","Application Data"
"3","0.251694","10.160.100.24","10.160.100.34","TCP","iad1 > https [ACK] Seq=38 Ack=38 Win=64980 [TCP CHECKSUM INCORRECT] Len=0"
"4","5.053732","Cisco-Li_38:ae:55","Ibm_14:3b:37","ARP","Who has 10.160.100.24?  Tell 192.168.1.1"
"5","5.053753","Ibm_14:3b:37","Cisco-Li_38:ae:55","ARP","10.160.100.24 is at 00:11:25:14:3b:37"
"6","11.976067","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"7","11.977298","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"8","11.977750","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"9","11.978724","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"10","11.979697","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"11","11.980668","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"12","11.981399","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"13","11.982369","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"14","11.983337","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"15","11.984307","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"16","11.985286","192.168.1.1","10.160.100.35","SSDP","NOTIFY * HTTP/1.1  "
"17","12.604401","10.160.100.24","10.160.100.80","DNS","Standard query A www.yahoo.com"
"18","12.625415","10.160.100.80","10.160.100.24","DNS","Standard query response CNAME www.yahoo-ht3.akadns.net A 10.160.100.81"
"19","12.626593","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460"
"20","12.672837","10.160.100.81","10.160.100.24","TCP","http > dellwebadmin-2 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"21","12.672877","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=1 Ack=1 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"22","12.673195","10.160.100.24","10.160.100.81","HTTP","GET / HTTP/1.1 "
"23","12.783259","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"24","12.783486","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"25","12.783523","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=2921 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"26","12.783733","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"27","12.785437","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"28","12.785473","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=5841 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"29","12.830699","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"30","12.830913","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"31","12.830957","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=8761 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"32","12.833102","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"33","12.833343","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"34","12.833377","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=11681 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"35","12.833587","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"36","12.834562","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"37","12.834598","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=14601 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"38","12.880541","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"39","12.880769","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"40","12.880812","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=17521 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"41","12.881990","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"42","12.882472","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"43","12.882506","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=20441 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"44","12.882713","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"45","12.885173","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"46","12.885195","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"47","12.885221","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=24821 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"48","12.924473","10.160.100.24","10.160.100.80","DNS","Standard query A l.yimg.com"
"49","12.928204","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"50","12.928934","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"51","12.928958","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"52","12.928989","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=29201 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"53","12.930628","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"54","12.930868","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"55","12.930902","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=32121 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"56","12.934275","10.160.100.81","10.160.100.24","TCP","[TCP segment of a reassembled PDU]"
"57","12.937194","10.160.100.81","10.160.100.24","HTTP","HTTP/1.1 200 OK  (text/html)"
"58","12.937237","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [ACK] Seq=486 Ack=34609 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"59","12.937479","10.160.100.24","10.160.100.81","TCP","dellwebadmin-2 > http [FIN, ACK] Seq=486 Ack=34609 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
"60","12.946435","10.160.100.80","10.160.100.24","DNS","Standard query response CNAME geoycs-l.gy1.b.yahoo.com CNAME fo-anyycs-l.ay1.b.yahoo.com CNAME anyycs-l.ay1.b.yahoo.com A 10.160.100.93 A 209.73.188.78 A 216.115.104.240"
"61","12.947232","10.160.100.24","10.160.100.93","TCP","pictrography > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460"
"62","12.988032","10.160.100.81","10.160.100.24","TCP","http > dellwebadmin-2 [ACK] Seq=34609 Ack=487 Win=65534 Len=0"
"63","12.996047","10.160.100.93","10.160.100.24","TCP","http > pictrography [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"64","12.996087","10.160.100.24","10.160.100.93","TCP","pictrography > http [ACK] Seq=1 Ack=1 Win=65535 [TCP CHECKSUM INCORRECT] Len=0"
